,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
47,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,41.97,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.03,-0.03,3.66,3.69
48,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.54,0.54,0.38,-0.15
49,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,19.13,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.53,-0.53,2.67,3.19
50,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,65.86,24.55,96.84,40.05,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.08,-0.08,3.86,3.94
51,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.74,14.53,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.47,0.47,2.2,1.73
52,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,7.64,0.08,13.31,10.85,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.06,-0.06,1.82,1.88
53,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.6,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
54,Chemical synthesis using sodium borohydride and trisodium citrate,lab,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.29,1.22,31.39,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.0,0.0,4.79,4.79
55,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,30.12,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.53,0.53,2.74,2.21
56,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,103.48,60.51,135.71,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.38,1.38,2.26,0.88
57,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,119.74,1.2,237.82,0.65,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.51,0.51,0.11,-0.4
58,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.6,0.95,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.03,-0.03,3.66,3.69
59,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,130.18,110.86,144.67,24.25,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.86,1.86,2.07,0.22
60,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.37,-0.37,2.54,2.92
61,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,13.33,0.13,23.23,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.13,-0.13,0.91,1.04
62,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,60.1,0.6,112.69,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.33,-0.33,2.86,3.2
63,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,90.71,0.91,202.96,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.19,0.19,0.82,0.64
64,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,6.36,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.27,-0.27,2.65,2.92
65,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,355.17,42.75,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.54,0.54,0.38,-0.15
66,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.06,1.06,4.04,2.98
67,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,15.18,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.38,0.38,2.1,1.71
68,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,43.28,312.45,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.27,1.27,0.66,-0.61
69,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
70,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,142.1,56.0,223.6,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,2.13,2.13,0.41,-1.72
71,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,144.99,1.45,252.65,41.47,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.19,0.19,0.43,0.24
72,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.05,-0.05,3.65,3.7
73,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.63,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
74,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.19,1.41,23.12,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.39,-0.39,3.18,3.58
