,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
4744,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,88.52,218.7,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.66,0.66,1.85,1.19
4745,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,19.91,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.03,0.03,0.67,0.63
4746,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.17,0.17,2.33,2.17
4747,Green synthesis using Curcuma longa,lab,MIC,ethanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,99.91,98.91,100.66,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,1.28,1.28,5.35,4.07
4748,Green synthesis using Carya illinoinensis,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,128.71,188.56,48.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.55,-0.55,3.32,3.87
4749,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,97.51,0.98,169.91,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.38,0.38,1.95,1.57
4750,Chemical synthesis using sodium borohydride,lab,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,2.67,2.84
4751,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.65,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
4752,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,14.92,8.53,21.76,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.76,0.76,2.42,1.66
4753,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,31.71,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.09,0.09,2.09,2.0
4754,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.3,1.18,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
4755,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 5 mmol/kg Cu(CH3COO)2*H2O,lab,MIC,water,none,none,spheroidal,mixed,79.545,1.651411411,weak,bio,0,17,1,1,-0.1213,0.319480519,2.319480519,1,0.8,0.79,0.81,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.32,0.32,5.49,5.16
4756,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,119.52,1.2,208.26,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.34,0.34,1.41,1.07
