,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
45,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,19.58,280.74,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.3,0.3,1.7,1.4
46,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.02,1.38,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.67,-0.67,3.15,3.81
47,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,39.49,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.47,-1.47,3.65,5.12
48,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,148.22,146.62,149.42,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.14,-0.14,3.55,3.69
49,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,158.17,1.58,275.61,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.38,-0.38,0.16,0.54
50,Green synthesis using Agrimonia eupatoria L.,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.08,1.34,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.35,-1.35,3.38,4.73
51,Green synthesis using Syzygium cumini flowers,lab,MIC,ethanol,none,none,oval,phenolic,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.54,1.0,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.96,-0.96,2.44,3.4
52,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,95.9,64.08,128.26,39.59,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.19,-0.19,1.72,1.9
53,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.12,0.12,1.66,1.54
54,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.62,0.94,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.4,3.29
