,Unnamed: 0,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_
50,50,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617
51,51,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781
52,52,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265
53,53,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562
54,54,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
55,55,60.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),60.0,60.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9162907318741552
56,56,10.0,green_synthesis,10.0,10.0,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4524341636244356
57,57,10.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),10.0,10.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,5.455321115357702
58,58,20.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),20.0,20.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,6.437751649736401
59,59,40.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),40.0,40.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2231435513142097
60,60,100.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),100.0,100.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0149030205422647
61,61,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2231435513142097
62,62,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2237754316221157
63,63,30.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,3.218875824868201
64,64,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2237754316221157
65,65,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916922612182061
66,66,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2231435513142097
67,67,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2237754316221157
68,68,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2237754316221157
69,69,28.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),28.0,28.0,MIC,21.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.916922612182061
70,70,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218875824868201
71,71,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146
72,72,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146
73,73,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605170185988092
74,74,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,16.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218875824868201
75,75,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,16.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146
76,76,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,meat,1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146
77,77,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,meat,1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605170185988092
78,78,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.525728644308256
79,79,69.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),31.0,45.26,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,3.218875824868201
80,80,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582689081239758
81,81,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582689081239758
82,82,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4469189829363254
83,83,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7537718023763802
84,84,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4469189829363254
85,85,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MBC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7537718023763802
86,86,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1400661634962708
87,87,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1400661634962708
88,88,58.5,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),52.7,55.6,MIC,48.07498601007275,1139.4714854111403,water,24.0,quasi-spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1400661634962708
89,89,35.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),30.0,30.0,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1041341542702074
90,90,35.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),30.0,30.0,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,5.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.410986973710262
91,91,35.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),30.0,30.0,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5952547069568657
92,92,35.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),30.0,30.0,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,5.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840549633397487
